Usage Drugs Removed for Being Problematic and Non-Dosis

Rank |        NDC11 | Drug Name                          | Quant.
------------------------------------------------------------------
  45 |  74312002610 | PROBIOTIC (ACIDO,LACTO)(ORI (TAB)  |   7440
  89 |  30768003304 | FISH OIL 1000 MG        CAP (CAP)  |   4475
  98 |  00904641292 | CALCIUM  500MG CHEW (TAB)          |   4018
 113 |  47469000928 | OMEGA-3 1,000 MG SOFTGEL (CAP)     |   3445
 121 |  43199002001 | METHENAMINE HIPP 1GM TAB (TAB)     |   3178
 126 |  24208069762 | PRESERVISON AREDS 2 CAP (CAP)      |   2978
 139 |  30761004012 | CRANBERRY 250MG CAP (CAP)          |   2474
 141 |  00065804603 | ICAPS AREDS SOFTGEL (CAP)          |   2439
 149 |  00536150060 | REGULOID CAP (CAP)                 |   2300
 159 |  00536101901 | SIMETHICONE  CHEW 80MG (TAB)       |   2165
 162 |  74312004233 | CALCIUM 600+VIT D3 800 TAB (TAB)   |   2091
 165 |  00378086005 | CLOZAPINE 100 MG TAB (TAB)         |   2009
 167 |  03076803553 | CO Q-10 100 MG SOFTGEL (CAP)       |   1985
 183 |  00527111610 | SODIUM CHLORIDE 1000 MG TAB (TAB)  |   1794
 191 |  00597007541 | SPIRIVA 18 MCG CP-HAND (30P (CAP)  |   1650
 199 |  13668011005 | DULOXETINE  DR 30 MG *DNC* (CAP)   |   1531
 200 |  59746017110 | PREDNISONE 1MG  TAB (TAB)          |   1525
 210 |  49884001908 | OMEGA-3 ETHYL ESTER 1 GM CA (CAP)  |   1403
 215 |  68585000575 | MAG 64 *DNC*(ORIG) (TAB)           |   1380
 227 |  68001000700 | GABAPENTIN 800MG         TA (TAB)  |   1327
 228 |  00904501360 | VITAMIN C 1,000 MG TABLET (TAB)    |   1323
 251 |  00536430605 | FIBER-LAX TABS (TAB)               |   1182
 260 |  24208040319 | OCUVITE LUTEIN CAP (CAP)           |   1150
 264 |  00904560413 | FISH OIL 500 MG OMEGA3 SOFT (CAP)  |   1119
 305 |  69387011905 | BENZONATATE 100 MG *DNC*CAP (CAP)  |    929
 319 |  65597070118 | WELCHOL 625MG TABLET (TAB)         |    862
 338 |  00904027472 | VITAMIN E 400 UNIT SOFTGEL (CAP)   |    757
 340 |  64980012950 | FLORANEX BOTTLE (ORIG) (TAB)       |    750
 402 |  00536102008 | SIMETHICONE CHEW 125MG (TAB)       |    592
 406 |  46122002878 | GUAIFENESIN ER 600MG*DNC* T (TAB)  |    584
 453 |  65162053750 | BENZONATATE 200 MG CAP *DNC (CAP)  |    496
 462 |  00005556819 | CALTRATE 600+D 800 CHEWYCHO (TAB)  |    480
 504 |  65862031560 | LEVETIRACETAM 1,000MG TAB (TAB)    |    418
 518 |  87651042067 | AZO CRANBERRY TAB (ORIG) (TAB)     |    400
 531 |  00536105022 | CALCIUM ANTACID CHEW 750MG (TAB)   |    376
 545 |  00006022761 | ISENTRESS 400 MG TAB (ORIG) (TAB)  |    360
 548 |  65862059760 | LAMIVUDINE-ZIDOVUDINE(ORIG) (TAB)  |    360
 594 |  00536718101 | ACIDOPHILUS X-STR CAPTAB (TAB)     |    300
 607 |  01650056015 | CITRACAL-VITD GUMMIE (ORIG) (TAB)  |    280
