Usage Summary

Rank |        NDC11 | Drug Name                          | Quant. |      % | Cuml %
-------------------------------------------------------------------------------------
   1 |  00904198280 | ACETAMINOPHEN 325MG TAB (TAB)      |  58472 |   3.65 |   3.65
   2 |  00603002632 | ASPIRIN  81MG  EC  TAB *DNC (TAB)  |  39313 |   2.46 |   6.11
   3 |  00904615760 | VITAMIN D3 2,000 UNIT TAB (TAB)    |  24252 |   1.52 |   7.63
   4 |  65862006299 | METOPROLOL TART 25 MG TAB (TAB)    |  23873 |   1.49 |   9.12
   5 |  00904582460 | VITAMIN D 1,000 IU TAB (TAB)       |  23359 |   1.46 |  10.58
   6 |  00228253996 | CARB-LEVO 25-100 TAB (TAB)         |  22261 |   1.39 |  11.97
   7 |  13668010310 | DONEPEZIL 10 MG TAB (TAB)          |  22231 |   1.39 |  13.36
   8 |  00603017932 | FERROUS SULF 325 MG TAB (TAB)      |  21710 |   1.36 |  14.72
   9 |  60505006501 | OMEPRAZOLE DR 20MG*DNC* CAP (CAP)  |  21381 |   1.34 |  16.05
  10 |  00536408610 | SENEXON-S TAB (TAB)                |  21190 |   1.32 |  17.38
  11 |  00054010128 | AMLODIPINE 5MG TAB (TAB)           |  20456 |   1.28 |  18.66
  12 |  00904198880 | ACETAMINOPHEN 500MG TAB (TAB)      |  19764 |   1.24 |  19.89
  13 |  65862065399 | MEMANTINE 10 MG TAB (TAB)          |  19101 |   1.19 |  21.09
  14 |  62175061743 | PANTOPRAZOLE 40MG*DNC*TAB (TAB)    |  18428 |   1.15 |  22.24
  15 |  00054022031 | QUETIAPINE FUM 25 MG TAB (TAB)     |  17992 |   1.12 |  23.36
  16 |  63739067510 | GABAPENTIN 100 MG  CAP (CAP)       |  16034 |      1 |  24.36
  17 |  00781571010 | POTASSIUM CL 10MEQ ER*DNC* (TAB)   |  16007 |      1 |  25.36
  18 |  57664039758 | METFORMIN HCL 500 MG TAB (TAB)     |  15473 |   0.97 |  26.33
  19 |  00904421713 | VITAMIN B-12 1000 MCG TAB (TAB)    |  14586 |   0.91 |  27.24
  20 |  57896050410 | MULTIVITAMIN ONE-DAILY (TAB)       |  13732 |   0.86 |   28.1
  21 |  00904628889 | ASPIRIN 81MG CHEW TAB (TAB)        |  13581 |   0.85 |  28.95
  22 |  60505025303 | CLOPIDOGREL 75 MG TAB (TAB)        |  12864 |    0.8 |  29.75
  23 |  65862059805 | TAMSULOSIN HCL 0.4 MG*DNC* (CAP)   |  12820 |    0.8 |  30.56
  24 |  60505011308 | GABAPENTIN 300 MG CAP (CAP)        |  12221 |   0.76 |  31.32
  25 |  00527134210 | LEVOTHYROXINE 50 MCG TAB (TAB)     |  11753 |   0.73 |  32.05
  26 |  65862006399 | METOPROLOL TART 50 MG TAB (TAB)    |  11564 |   0.72 |  32.78
  27 |  00904643480 | SENNA 8.6 MG TAB (TAB)             |  11526 |   0.72 |   33.5
  28 |  16729000517 | SIMVASTATIN 20 MG TAB (TAB)        |  11165 |    0.7 |   34.2
  29 |  00172572880 | FAMOTIDINE 20MG  TAB (TAB)         |  11118 |   0.69 |  34.89
  30 |  65162036111 | FOLIC ACID 1 MG TABLET (TAB)       |  10818 |   0.68 |  35.57
  31 |  60505257808 | ATORVASTATIN 10MG TAB (TAB)        |  10678 |   0.67 |  36.23
  32 |  00054010228 | AMLODIPINE 10MG TAB (TAB)          |  10436 |   0.65 |  36.89
  33 |  60505313208 | QUETIAPINE FUM 50 MG TAB (TAB)     |   9353 |   0.58 |  37.47
  34 |  13668010210 | DONEPEZIL 5 MG TAB (TAB)           |   9295 |   0.58 |  38.05
  35 |  60505257908 | ATORVASTATIN 20MG TAB (TAB)        |   9277 |   0.58 |  38.63
  36 |  00527134310 | LEVOTHYROXINE 75 MCG TAB (TAB)     |   9132 |   0.57 |   39.2
  37 |  00904323392 | CALCIUM 600+D 400 IU TAB (TAB)     |   8976 |   0.56 |  39.76
  38 |  13668001005 | CITALOPRAM 20MG TAB (TAB)          |   8831 |   0.55 |  40.32
  39 |  00378207510 | LISINOPRIL 20 MG TAB (TAB)         |   8625 |   0.54 |  40.85
  40 |  60505024708 | MIRTAZAPINE 15 MG TAB (TAB)        |   8463 |   0.53 |  41.38
  41 |  00603421132 | LISINOPRIL 10 MG TAB (TAB)         |   8455 |   0.53 |  41.91
  42 |  00904052380 | VITAMIN C 500 MG TAB (TAB)         |   8306 |   0.52 |  42.43
  43 |  49884082501 | METOPROLOL SUC 25 MG *DNC* (TAB)   |   8137 |   0.51 |  42.94
  44 |  13668013605 | ESCITALOPRAM 10 MG TAB (TAB)       |   7850 |   0.49 |  43.43
  45 |  65862024608 | LEVETIRACETAM 500MG TAB (TAB)      |   7744 |   0.48 |  43.91
  46 |  00527134110 | LEVOTHYROXINE 25 MCG TAB (TAB)     |   7639 |   0.48 |  44.39
  47 |  74312002610 | PROBIOTIC (ACIDO,LACTO)(ORI (TAB)  |   7440 |   0.47 |  44.86
  48 |  65862020299 | LOSARTAN 50 MG TAB (TAB)           |   7431 |   0.46 |  45.32
  49 |  00781107810 | ATENOLOL 25 MG TAB (TAB)           |   7392 |   0.46 |  45.78
  50 |  65862001205 | SERTRALINE 50 MG TAB (TAB)         |   7303 |   0.46 |  46.24
  51 |  04142000007 | FLORASTOR 250 MG CAPS (CAP)        |   7035 |   0.44 |  46.68
  52 |  00904598660 | VITAMIN D3 5,000 UNIT CAP (CAP)    |   6970 |   0.44 |  47.11
  53 |  57664047458 | METFORMIN 1,000 MG TAB (TAB)       |   6954 |   0.43 |  47.55
