Usage Summary

Rank |        NDC11 | Drug Name                          | Quant. |      % | Cuml %
------------------------------------------------------------------------------------
   1 |  00904198280 | ACETAMINOPHEN 325MG TAB            |  11808 |   1.65 |   1.65
   2 |  00054022031 | QUETIAPINE FUM 25 MG TAB           |  11368 |   1.59 |   3.24
   3 |  65862065360 | MEMANTINE 10 MG TAB                |  11318 |   1.58 |   4.83
   4 |  00228253996 | CARB-LEVO 25-100 TAB               |  10845 |   1.52 |   6.35
   5 |  00904198880 | ACETAMINOPHEN 500MG TAB            |  10602 |   1.48 |   7.83
   6 |  00603017932 | FERROUS SULF 325 MG TAB            |  10226 |   1.43 |   9.26
   7 |  00054010128 | AMLODIPINE 5MG TAB                 |   9824 |   1.38 |  10.64
   8 |  00536408610 | SENEXON-S TAB                      |   8719 |   1.22 |  11.86
   9 |  62175061743 | PANTOPRAZOLE 40MG*DNC*TAB          |   8078 |   1.13 |  12.99
  10 |  00904421713 | VITAMIN B-12 1000 MCG TAB          |   7870 |    1.1 |  14.09
  11 |  65862059805 | TAMSULOSIN HCL 0.4 MG*DNC*         |   7118 |      1 |  15.09
  12 |  60505011208 | GABAPENTIN 100 MG  CAP             |   6798 |   0.95 |  16.04
  13 |  57896050410 | MULTIVITAMIN ONE-DAILY             |   6610 |   0.93 |  16.97
  14 |  60505025303 | CLOPIDOGREL 75 MG TAB              |   6507 |   0.91 |  17.88
  15 |  68382075810 | METFORMIN HCL 500 MG TAB           |   6383 |   0.89 |  18.77
  16 |  00781571010 | POTASSIUM CL 10MEQ ER*DNC*         |   6180 |   0.87 |  19.64
  17 |  60505313208 | QUETIAPINE FUM 50 MG TAB           |   6173 |   0.86 |   20.5
  18 |  00904628889 | ASPIRIN 81MG CHEW TAB              |   6154 |   0.86 |  21.36
  19 |  00904643480 | SENNA 8.6 MG TAB                   |   6074 |   0.85 |  22.21
  20 |  00603002632 | ASPIRIN  81MG  EC  TAB *DNC        |   5971 |   0.84 |  23.05
  21 |  65862006399 | METOPROLOL TART 50 MG TAB          |   5912 |   0.83 |  23.88
  22 |  16729000517 | SIMVASTATIN 20 MG TAB              |   5629 |   0.79 |  24.67
  23 |  60505011308 | GABAPENTIN 300 MG CAP              |   5501 |   0.77 |  25.44
  24 | #00172572880 | FAMOTIDINE 20MG  TAB               |   5451 |   0.76 |   26.2
  25 |  00527134210 | LEVOTHYROXINE 50 MCG TAB           |   5388 |   0.75 |  26.95
  26 |  60505257808 | ATORVASTATIN 10MG TAB              |   5303 |   0.74 |   27.7
  27 |  13668003605 | RISPERIDONE 0.5 MG TAB             |   5096 |   0.71 |  28.41
  28 |  60505257908 | ATORVASTATIN 20MG TAB              |   4957 |   0.69 |   29.1
  29 |  65162036111 | FOLIC ACID 1 MG TABLET             |   4881 |   0.68 |  29.79
  30 |  00527134310 | LEVOTHYROXINE 75 MCG TAB           |   4848 |   0.68 |  30.47
  31 |  65862001205 | SERTRALINE 50 MG TAB               |   4794 |   0.67 |  31.14
  32 |  00054010228 | AMLODIPINE 10MG TAB                |   4755 |   0.67 |   31.8
  33 |  13668010210 | DONEPEZIL 5 MG TAB                 |   4691 |   0.66 |  32.46
  34 |  00904615760 | VITAMIN D3 2000 UNIT TAB           |   4599 |   0.64 |   33.1
  35 |  00378207510 | LISINOPRIL 20 MG TAB               |   4490 |   0.63 |  33.73
  36 |  60505024708 | MIRTAZAPINE 15 MG TAB              |   4434 |   0.62 |  34.35
  37 |  13668001005 | CITALOPRAM 20MG TAB                |   4188 |   0.59 |  34.94
  38 |  65862006299 | METOPROLOL TART 25 MG TAB          |   4098 |   0.57 |  35.51
  39 |  13668013605 | ESCITALOPRAM 10 MG TAB             |   4022 |   0.56 |  36.08
  40 |  00904582460 | VITAMIN D3 1000 IU TAB             |   4018 |   0.56 |  36.64
  41 |  68180051403 | LISINOPRIL 10 MG TAB               |   3918 |   0.55 |  37.19
  42 |  04142000007 | FLORASTOR 250 MG CAPS              |   3899 |   0.55 |  37.73
  43 |  00904052380 | VITAMIN C 500 MG TAB               |   3879 |   0.54 |  38.28
  44 |  55111053205 | DIVALPROEX 125 MG *DNC*CAP         |   3820 |   0.53 |  38.81
  45 |  49884082501 | METOPROLOL SUC 25 MG *DNC*         |   3740 |   0.52 |  39.33
