Usage Summary

Rank |        NDC11 | Drug Name                          | Quant. |      % | Cuml %
------------------------------------------------------------------------------------
   1 |  00904198280 | ACETAMINOPHEN 325MG TAB            |  11808 |    1.8 |    1.8
   2 |  65862065360 | MEMANTINE 10 MG TAB                |  11318 |   1.73 |   3.53
   3 |  00228253996 | CARB-LEVO 25-100 TAB               |  10845 |   1.66 |   5.19
   4 |  00904198880 | ACETAMINOPHEN 500MG TAB            |  10602 |   1.62 |   6.81
   5 |  00603017932 | FERROUS SULF 325 MG TAB            |  10226 |   1.56 |   8.37
   6 |  00536408610 | SENEXON-S TAB                      |   8719 |   1.33 |    9.7
   7 |  62175061743 | PANTOPRAZOLE 40MG*DNC*TAB          |   8078 |   1.23 |  10.94
   8 |  00904421713 | VITAMIN B-12 1000 MCG TAB          |   7870 |    1.2 |  12.14
   9 |  65862059805 | TAMSULOSIN HCL 0.4 MG*DNC*         |   7118 |   1.09 |  13.23
  10 |  60505011208 | GABAPENTIN 100 MG  CAP             |   6798 |   1.04 |  14.27
  11 |  57896050410 | MULTIVITAMIN ONE-DAILY             |   6610 |   1.01 |  15.28
  12 |  60505025303 | CLOPIDOGREL 75 MG TAB              |   6507 |   0.99 |  16.27
  13 |  68382075810 | METFORMIN HCL 500 MG TAB           |   6383 |   0.98 |  17.24
  14 |  00781571010 | POTASSIUM CL 10MEQ ER*DNC*         |   6180 |   0.94 |  18.19
  15 |  60505313208 | QUETIAPINE FUM 50 MG TAB           |   6173 |   0.94 |  19.13
  16 |  00904628889 | ASPIRIN 81MG CHEW TAB              |   6154 |   0.94 |  20.07
  17 |  00904643480 | SENNA 8.6 MG TAB                   |   6074 |   0.93 |     21
  18 |  00603002632 | ASPIRIN  81MG  EC  TAB *DNC        |   5971 |   0.91 |  21.91
  19 |  65862006399 | METOPROLOL TART 50 MG TAB          |   5912 |    0.9 |  22.81
  20 |  16729000517 | SIMVASTATIN 20 MG TAB              |   5629 |   0.86 |  23.67
  21 |  60505011308 | GABAPENTIN 300 MG CAP              |   5501 |   0.84 |  24.51
  22 | #00172572880 | FAMOTIDINE 20MG  TAB               |   5451 |   0.83 |  25.35
  23 |  00527134210 | LEVOTHYROXINE 50 MCG TAB           |   5388 |   0.82 |  26.17
  24 |  60505257808 | ATORVASTATIN 10MG TAB              |   5303 |   0.81 |  26.98
  25 |  13668003605 | RISPERIDONE 0.5 MG TAB             |   5096 |   0.78 |  27.76
  26 |  60505257908 | ATORVASTATIN 20MG TAB              |   4957 |   0.76 |  28.52
  27 |  65162036111 | FOLIC ACID 1 MG TABLET             |   4881 |   0.75 |  29.26
  28 |  00527134310 | LEVOTHYROXINE 75 MCG TAB           |   4848 |   0.74 |     30
  29 |  65862001205 | SERTRALINE 50 MG TAB               |   4794 |   0.73 |  30.74
  30 |  13668010210 | DONEPEZIL 5 MG TAB                 |   4691 |   0.72 |  31.45
  31 |  00904615760 | VITAMIN D3 2000 UNIT TAB           |   4599 |    0.7 |  32.15
  32 |  00378207510 | LISINOPRIL 20 MG TAB               |   4490 |   0.69 |  32.84
  33 |  60505024708 | MIRTAZAPINE 15 MG TAB              |   4434 |   0.68 |  33.52
  34 |  13668001005 | CITALOPRAM 20MG TAB                |   4188 |   0.64 |  34.16
  35 |  65862006299 | METOPROLOL TART 25 MG TAB          |   4098 |   0.63 |  34.78
  36 |  13668013605 | ESCITALOPRAM 10 MG TAB             |   4022 |   0.61 |   35.4
  37 |  00904582460 | VITAMIN D3 1000 IU TAB             |   4018 |   0.61 |  36.01
  38 |  68180051403 | LISINOPRIL 10 MG TAB               |   3918 |    0.6 |  36.61
  39 |  00904052380 | VITAMIN C 500 MG TAB               |   3879 |   0.59 |   37.2
  40 |  55111053205 | DIVALPROEX 125 MG *DNC*CAP         |   3820 |   0.58 |  37.79
  41 |  49884082501 | METOPROLOL SUC 25 MG *DNC*         |   3740 |   0.57 |  38.36
  42 |  00527134110 | LEVOTHYROXINE 25 MCG TAB           |   3708 |   0.57 |  38.92
  43 |  00781107810 | ATENOLOL 25 MG TAB                 |   3605 |   0.55 |  39.47
  44 |  60505006501 | OMEPRAZOLE DR 20MG*DNC* CAP        |   3558 |   0.54 |  40.02
  45 |  65862024608 | LEVETIRACETAM 500MG TAB            |   3553 |   0.54 |  40.56
  46 |  50111043303 | TRAZODONE 50MG  TAB                |   3529 |   0.54 |   41.1
  47 |  00904323392 | CALCIUM 600+D 400 IU TAB           |   3504 |   0.54 |  41.64
  48 |  45802065087 | LORATADINE 10MG TABLET             |   3366 |   0.51 |  42.15
  49 |  53746054205 | POTASSIUM CL ER10MEQ  CAP *        |   3349 |   0.51 |  42.66
  50 |  65862014205 | CARVEDILOL 3.125 MG TAB            |   3324 |   0.51 |  43.17
  51 |  13668010310 | DONEPEZIL 10 MG TAB                |   3245 |    0.5 |  43.66
  52 |  13666813705 | ESCITALOPRAM 20 MG TAB             |   3234 |   0.49 |  44.16
  53 |  74312002610 | PROBIOTIC (ACIDOLACTO)(ORI         |   3120 |   0.48 |  44.64
  54 |  65862020299 | LOSARTAN 50 MG TAB                 |   3094 |   0.47 |  45.11
  55 |  65862001305 | SERTRALINE 100 MG TAB              |   2966 |   0.45 |  45.56
  56 |  60505258008 | ATORVASTATIN 40MG TAB              |   2903 |   0.44 |     46
  57 |  31722023710 | AMLODIPINE 2.5 MG TAB              |   2889 |   0.44 |  46.45
  58 |  65862000505 | CITALOPRAM 10 MG TAB               |   2862 |   0.44 |  46.88
  59 |  57664047458 | METFORMIN 1000 MG TAB              |   2806 |   0.43 |  47.31
  60 |  00603497532 | OXYBUTYNIN 5 MG TAB                |   2797 |   0.43 |  47.74
  61 |  29300013510 | CLONIDINE 0.1 MG TAB               |   2791 |   0.43 |  48.17
  62 |  16729009016 | FINASTERIDE 5MG *DNC*TAB           |   2788 |   0.43 |  48.59
  63 |  00904323292 | CALCIUM 600 MG TABLET              |   2763 |   0.42 |  49.01
  64 |  00904188380 | OYST CAL 500MG     TAB             |   2753 |   0.42 |  49.43
  65 |  65862014305 | CARVEDILOL 6.25 MG TABLET          |   2750 |   0.42 |  49.85
  66 |  00527132401 | DIGOXIN 125 MCG TAB                |   2699 |   0.41 |  50.27
  67 |  60258018501 | POLY IRON 150 CAPS                 |   2690 |   0.41 |  50.68
  68 |  16729000617 | SIMVASTATIN 40 MG TAB              |   2685 |   0.41 |  51.09
  69 |  60505313308 | QUETIAPINE FUM 100MG TAB           |   2653 |   0.41 |  51.49
  70 |  49884082601 | METOPROLOL SUC 50 MG *DNC*         |   2635 |    0.4 |   51.9
  71 |  00904598660 | VITAMIN D3 5000 UNIT CAP           |   2634 |    0.4 |   52.3
  72 |  53746025310 | RANITIDINE 150 MG TAB              |   2629 |    0.4 |   52.7
  73 |  00904518252 | MELATONIN 3 MG TAB                 |   2623 |    0.4 |   53.1
