Usage Summary

Rank |        NDC11 | Drug Name                          | Quant. |      % | Cuml %
------------------------------------------------------------------------------------
   1 |  00904198280 | ACETAMINOPHEN 325MG TAB (TAB)      |  30024 |   2.06 |   2.06
   2 |  00228253996 | CARB-LEVO 25-100 TAB (TAB)         |  22261 |   1.53 |   3.59
   3 |  00603017932 | FERROUS SULF 325 MG TAB (TAB)      |  21710 |   1.49 |   5.07
   4 |  00536408610 | SENEXON-S TAB (TAB)                |  21190 |   1.45 |   6.53
   5 |  00054010128 | AMLODIPINE 5MG TAB (TAB)           |  20456 |    1.4 |   7.93
   6 |  00904198880 | ACETAMINOPHEN 500MG TAB (TAB)      |  19764 |   1.36 |   9.29
   7 |  62175061743 | PANTOPRAZOLE 40MG*DNC*TAB (TAB)    |  18428 |   1.26 |  10.55
   8 |  00054022031 | QUETIAPINE FUM 25 MG TAB (TAB)     |  17992 |   1.23 |  11.78
   9 |  63739067510 | GABAPENTIN 100 MG  CAP (CAP)       |  16034 |    1.1 |  12.88
  10 |  00781571010 | POTASSIUM CL 10MEQ ER*DNC* (TAB)   |  16007 |    1.1 |  13.98
  11 |  57664039758 | METFORMIN HCL 500 MG TAB (TAB)     |  15473 |   1.06 |  15.04
  12 |  00904421713 | VITAMIN B-12 1000 MCG TAB (TAB)    |  14586 |      1 |  16.04
  13 |  00603002632 | ASPIRIN  81MG  EC  TAB *DNC (TAB)  |  14533 |      1 |  17.04
  14 |  57896050410 | MULTIVITAMIN ONE-DAILY (TAB)       |  13732 |   0.94 |  17.98
  15 |  00904628889 | ASPIRIN 81MG CHEW TAB (TAB)        |  13581 |   0.93 |  18.91
  16 |  60505025303 | CLOPIDOGREL 75 MG TAB (TAB)        |  12864 |   0.88 |  19.79
  17 |  65862059805 | TAMSULOSIN HCL 0.4 MG*DNC* (CAP)   |  12820 |   0.88 |  20.67
  18 |  60505011308 | GABAPENTIN 300 MG CAP (CAP)        |  12221 |   0.84 |  21.51
  19 |  00527134210 | LEVOTHYROXINE 50 MCG TAB (TAB)     |  11753 |   0.81 |  22.32
  20 |  65862006399 | METOPROLOL TART 50 MG TAB (TAB)    |  11564 |   0.79 |  23.11
  21 |  00904643480 | SENNA 8.6 MG TAB (TAB)             |  11526 |   0.79 |   23.9
  22 |  16729000517 | SIMVASTATIN 20 MG TAB (TAB)        |  11165 |   0.77 |  24.67
  23 |  00172572880 | FAMOTIDINE 20MG  TAB (TAB)         |  11118 |   0.76 |  25.43
  24 |  65162036111 | FOLIC ACID 1 MG TABLET (TAB)       |  10818 |   0.74 |  26.17
  25 |  00904615760 | VITAMIN D3 2,000 UNIT TAB (TAB)    |  10700 |   0.73 |   26.9
  26 |  60505257808 | ATORVASTATIN 10MG TAB (TAB)        |  10678 |   0.73 |  27.64
  27 |  00054010228 | AMLODIPINE 10MG TAB (TAB)          |  10436 |   0.72 |  28.35
  28 |  65862006299 | METOPROLOL TART 25 MG TAB (TAB)    |  10041 |   0.69 |  29.04
