Usage Summary

Rank |        NDC11 | Drug Name                          | Quant. |      % | Cuml %
------------------------------------------------------------------------------------
   1 |  65862065360 | MEMANTINE 10 MG TAB                |  11318 |   2.74 |   2.74
   2 |  62175061743 | PANTOPRAZOLE 40MG*DNC*TAB          |   8078 |   1.96 |    4.7
   3 |  65862059805 | TAMSULOSIN HCL 0.4 MG*DNC*         |   7118 |   1.72 |   6.42
   4 |  60505011208 | GABAPENTIN 100 MG  CAP             |   6798 |   1.65 |   8.07
   5 |  57896050410 | MULTIVITAMIN ONE-DAILY             |   6610 |    1.6 |   9.67
   6 |  60505025303 | CLOPIDOGREL 75 MG TAB              |   6507 |   1.58 |  11.24
   7 |  68382075810 | METFORMIN HCL 500 MG TAB           |   6383 |   1.55 |  12.79
   8 |  60505313208 | QUETIAPINE FUM 50 MG TAB           |   6173 |   1.49 |  14.28
   9 |  65862006399 | METOPROLOL TART 50 MG TAB          |   5912 |   1.43 |  15.71
  10 |  16729000517 | SIMVASTATIN 20 MG TAB              |   5629 |   1.36 |  17.08
  11 |  60505011308 | GABAPENTIN 300 MG CAP              |   5501 |   1.33 |  18.41
  12 |  60505257808 | ATORVASTATIN 10MG TAB              |   5303 |   1.28 |  19.69
  13 |  13668003605 | RISPERIDONE 0.5 MG TAB             |   5096 |   1.23 |  20.93
  14 |  60505257908 | ATORVASTATIN 20MG TAB              |   4957 |    1.2 |  22.13
  15 |  65162036111 | FOLIC ACID 1 MG TABLET             |   4881 |   1.18 |  23.31
  16 |  65862001205 | SERTRALINE 50 MG TAB               |   4794 |   1.16 |  24.47
  17 |  13668010210 | DONEPEZIL 5 MG TAB                 |   4691 |   1.14 |  25.61
  18 |  60505024708 | MIRTAZAPINE 15 MG TAB              |   4434 |   1.07 |  26.68
  19 |  13668001005 | CITALOPRAM 20MG TAB                |   4188 |   1.01 |   27.7
  20 |  65862006299 | METOPROLOL TART 25 MG TAB          |   4098 |   0.99 |  28.69
  21 |  13668013605 | ESCITALOPRAM 10 MG TAB             |   4022 |   0.97 |  29.66
  22 |  68180051403 | LISINOPRIL 10 MG TAB               |   3918 |   0.95 |  30.61
  23 |  55111053205 | DIVALPROEX 125 MG *DNC*CAP         |   3820 |   0.93 |  31.54
  24 |  49884082501 | METOPROLOL SUC 25 MG *DNC*         |   3740 |   0.91 |  32.44
  25 |  60505006501 | OMEPRAZOLE DR 20MG*DNC* CAP        |   3558 |   0.86 |   33.3
  26 |  65862024608 | LEVETIRACETAM 500MG TAB            |   3553 |   0.86 |  34.16
  27 |  50111043303 | TRAZODONE 50MG  TAB                |   3529 |   0.85 |  35.02
  28 |  45802065087 | LORATADINE 10MG TABLET             |   3366 |   0.82 |  35.83
  29 |  53746054205 | POTASSIUM CL ER10MEQ  CAP *        |   3349 |   0.81 |  36.64
  30 |  65862014205 | CARVEDILOL 3.125 MG TAB            |   3324 |    0.8 |  37.45
  31 |  13668010310 | DONEPEZIL 10 MG TAB                |   3245 |   0.79 |  38.23
  32 |  13666813705 | ESCITALOPRAM 20 MG TAB             |   3234 |   0.78 |  39.02
  33 |  74312002610 | PROBIOTIC (ACIDOLACTO)(ORI         |   3120 |   0.76 |  39.77
  34 |  65862020299 | LOSARTAN 50 MG TAB                 |   3094 |   0.75 |  40.52
  35 |  65862001305 | SERTRALINE 100 MG TAB              |   2966 |   0.72 |  41.24
  36 |  60505258008 | ATORVASTATIN 40MG TAB              |   2903 |    0.7 |  41.94
  37 |  31722023710 | AMLODIPINE 2.5 MG TAB              |   2889 |    0.7 |  42.64
  38 |  65862000505 | CITALOPRAM 10 MG TAB               |   2862 |   0.69 |  43.34
  39 |  57664047458 | METFORMIN 1000 MG TAB              |   2806 |   0.68 |  44.01
  40 |  29300013510 | CLONIDINE 0.1 MG TAB               |   2791 |   0.68 |  44.69
  41 |  16729009016 | FINASTERIDE 5MG *DNC*TAB           |   2788 |   0.68 |  45.37
  42 |  65862014305 | CARVEDILOL 6.25 MG TABLET          |   2750 |   0.67 |  46.03
  43 |  60258018501 | POLY IRON 150 CAPS                 |   2690 |   0.65 |  46.68
  44 |  16729000617 | SIMVASTATIN 40 MG TAB              |   2685 |   0.65 |  47.33
  45 |  60505313308 | QUETIAPINE FUM 100MG TAB           |   2653 |   0.64 |  47.98
